,symbol,poolname_1,tvl_1,apy_1,poolname_2,tvl_2,apy_2,poolname_3,tvl_3,apy_3,poolname_4,tvl_4,apy_4,poolname_5,tvl_5,apy_5,poolname_6,tvl_6,apy_6,poolname_7,tvl_7,apy_7,poolname_8,tvl_8,apy_8,date
0,ALPHA,BNB-PancakeSwap,30817624.03,161.9109,,,,,,,,,,,,,,,,,,,,,,2021-04-24
1,BAKE,BAKE-BakeryToken,63556465.93,15.26,BNB-BakeryToken,33278627.98,41.64,BUSD-BakeryToken,3809030.74,97.0,,,,,,,,,,,,,,,,2021-04-24
2,BAL,PERL-Perlin,13243.89935,113.6272,,,,,,,,,,,,,,,,,,,,,,2021-04-24
3,BAND,WBNB-PancakeSwap,33376027.75,298.8905,ETH-SushiSwap,15682191.84,37.0941,,,,,,,,,,,,,,,,,,,2021-04-24
4,BEL,ETH-Bella Protocol,1825248.208,135.0,USDT-Bella Protocol,985042.9691,500.0,,,,,,,,,,,,,,,,,,,2021-04-24
5,CAKE,CAKE-PancakeSwap,5277386183.0,93.4163,WBNB-PancakeSwap,1005454531.0,148.8249,,,,,,,,,,,,,,,,,,,2021-04-24
6,COMP,ETH-SushiSwap,28482879.66,21.4302,,,,,,,,,,,,,,,,,,,,,,2021-04-24
7,CRV,ETH-SushiSwap,15828499.45,25.8812,RENBTC-Harvest Finance,104608567.2,2.2,,,,,,,,,,,,,,,,,,,2021-04-24
8,DAI,BNB-PancakeSwap,132334.682,37705.2383,USDC-Curve DAO Token,142911560.8,11.3318,ETH-SushiSwap,286533359.6,43.0915,DAI-Harvest Finance,13152912.37,16.05,DAI-yearn.finance,13178954.54,29.6524,DAI-ForTube,152322.0,3.4609,PERL-Perlin,87350.24405,142.0428,SFG-S.Finance,14995.81976,523.6465,2021-04-24
9,DF,USDx-dForce,532663.9134,17.7641,,,,,,,,,,,,,,,,,,,,,,2021-04-24
10,FARM,FARM-Harvest Finance,80995582.8,29.34,,,,,,,,,,,,,,,,,,,,,,2021-04-24
11,FOR,FOR-ForTube,5097528.0,5.1913,,,,,,,,,,,,,,,,,,,,,,2021-04-24
12,JST,TRX-SUN,19554433.0,27.1428,,,,,,,,,,,,,,,,,,,,,,2021-04-24
13,LINK,vLINK-Venus,83810578.65,2.86,WBNB-PancakeSwap,56625572.77,176.2352,ETH-SushiSwap,121388264.0,31.1156,,,,,,,,,,,,,,,,2021-04-24
14,MTA,wETH-mStable (?),5804746.076,71.4085,,,,,,,,,,,,,,,,,,,,,,2021-04-24
15,RENBTC,CRV-Harvest Finance,104608567.2,2.2,,,,,,,,,,,,,,,,,,,,,,2021-04-24
16,SFI,SFI-saffron.finance,12550338.6,17.6843,ETH-saffron.finance,3489386.387,60.9067,ETH-saffron.finance,2565031.605,62.922,ESD-saffron.finance,111864.3636,109.3055,BTSE-saffron.finance,101941.8992,58.5572,GEEQ-saffron.finance,64382.7382,107.2165,,,,,,,2021-04-24
17,SNX,ETH-SushiSwap,59848137.63,36.1416,,,,,,,,,,,,,,,,,,,,,,2021-04-24
18,SUSD,ETH-SushiSwap,19582315.91,57.1113,,,,,,,,,,,,,,,,,,,,,,2021-04-24
19,SUSHI,ETH-SushiSwap,463172583.0,42.4543,,,,,,,,,,,,,,,,,,,,,,2021-04-24
20,SXP,vSXP-Venus,268024106.3,6.64,,,,,,,,,,,,,,,,,,,,,,2021-04-24
21,UMA,ETH-SushiSwap,15042961.22,27.2327,,,,,,,,,,,,,,,,,,,,,,2021-04-24
22,VAI,VAI-Venus,179770916.9,92.13,,,,,,,,,,,,,,,,,,,,,,2021-04-24
23,WBTC,WBTC-Harvest Finance,1905686.017,1.57,WBTC-Flamincome (??),47152065.98,3.93,WBTC-ForTube,218726.0,1.2978,,,,,,,,,,,,,,,,2021-04-24
24,XVS,vXVS-Venus,399209896.7,9.63,,,,,,,,,,,,,,,,,,,,,,2021-04-24
25,YFI,ETH-SushiSwap,172670354.7,47.9245,,,,,,,,,,,,,,,,,,,,,,2021-04-24
26,YFII,BNB-PancakeSwap,136849.078,36461.4128,YFII-ForTube,99696.0,0.2596,,,,,,,,,,,,,,,,,,,2021-04-24
